timestamp,attendeeCount,consumption
datetime,int,float
S,T,,
2010-09-01 00:00:00.0,0,4.39
2010-09-01 01:00:00.0,0,4.11
2010-09-01 02:00:00.0,0,4.05
2010-09-01 03:00:00.0,0,4.11
2010-09-01 04:00:00.0,0,4.07
2010-09-01 05:00:00.0,19,24.96
2010-09-01 06:00:00.0,36,44.82
2010-09-01 07:00:00.0,18,38.8
2010-09-01 08:00:00.0,42,42.64
2010-09-01 09:00:00.0,84,44.03
2010-09-01 10:00:00.0,45,43.45
2010-09-01 11:00:00.0,17,39.5
2010-09-01 12:00:00.0,20,38.65
2010-09-01 13:00:00.0,22,37.78
2010-09-01 14:00:00.0,16,37.23
2010-09-01 15:00:00.0,43,39.74
2010-09-01 16:00:00.0,45,40.49
2010-09-01 17:00:00.0,98,42.34
2010-09-01 18:00:00.0,85,46.81
2010-09-01 19:00:00.0,53,45.46
2010-09-01 20:00:00.0,5,43.17
2010-09-01 21:00:00.0,0,33.79
2010-09-01 22:00:00.0,0,30.62
2010-09-01 23:00:00.0,0,21.04
2010-09-02 00:00:00.0,0,4.2
2010-09-02 01:00:00.0,0,4.15
2010-09-02 02:00:00.0,0,4.11
2010-09-02 03:00:00.0,0,4.24
2010-09-02 04:00:00.0,0,4.15
2010-09-02 05:00:00.0,20,24.65
2010-09-02 06:00:00.0,35,47.2
2010-09-02 07:00:00.0,29,41.76
2010-09-02 08:00:00.0,46,40.34
2010-09-02 09:00:00.0,52,41.59
2010-09-02 10:00:00.0,45,40.4
2010-09-02 11:00:00.0,29,40.99
2010-09-02 12:00:00.0,24,38.57
2010-09-02 13:00:00.0,23,38.26
2010-09-02 14:00:00.0,18,38.07
2010-09-02 15:00:00.0,31,38.04
2010-09-02 16:00:00.0,50,38.5
2010-09-02 17:00:00.0,100,43.45
2010-09-02 18:00:00.0,69,49.3
2010-09-02 19:00:00.0,36,43.68
2010-09-02 20:00:00.0,4,34.18
2010-09-02 21:00:00.0,0,31.52
2010-09-02 22:00:00.0,0,32.77
2010-09-02 23:00:00.0,0,12.13
2010-09-03 00:00:00.0,0,4.15
2010-09-03 01:00:00.0,0,4.17
2010-09-03 02:00:00.0,0,4.11
2010-09-03 03:00:00.0,0,4.06
2010-09-03 04:00:00.0,0,4.1
2010-09-03 05:00:00.0,19,19.62
2010-09-03 06:00:00.0,30,46.5
2010-09-03 07:00:00.0,18,42.25
2010-09-03 08:00:00.0,19,38.35
2010-09-03 09:00:00.0,66,41.97
2010-09-03 10:00:00.0,38,44.47
2010-09-03 11:00:00.0,14,38.6
2010-09-03 12:00:00.0,19,38.05
2010-09-03 13:00:00.0,19,40.19
2010-09-03 14:00:00.0,22,38.65
2010-09-03 15:00:00.0,32,38.51
2010-09-03 16:00:00.0,58,40.66
2010-09-03 17:00:00.0,66,41.33
2010-09-03 18:00:00.0,36,42.61
2010-09-03 19:00:00.0,8,41.83
2010-09-03 20:00:00.0,0,29.49
2010-09-03 21:00:00.0,0,20.6
2010-09-03 22:00:00.0,0,4.25
2010-09-03 23:00:00.0,0,4.09
2010-09-04 00:00:00.0,0,4.31
2010-09-04 01:00:00.0,0,4.18
2010-09-04 02:00:00.0,0,4.12
2010-09-04 03:00:00.0,0,4.23
2010-09-04 04:00:00.0,0,4.2
2010-09-04 05:00:00.0,0,3.98
2010-09-04 06:00:00.0,11,4.36
2010-09-04 07:00:00.0,55,47.19
2010-09-04 08:00:00.0,88,43.16
2010-09-04 09:00:00.0,49,47.33
2010-09-04 10:00:00.0,69,49.03
2010-09-04 11:00:00.0,29,45.83
2010-09-04 12:00:00.0,22,40.25
2010-09-04 13:00:00.0,33,38.97
2010-09-04 14:00:00.0,32,40.0
2010-09-04 15:00:00.0,47,40.18
2010-09-04 16:00:00.0,47,39.49
2010-09-04 17:00:00.0,15,41.06
2010-09-04 18:00:00.0,0,16.93
2010-09-04 19:00:00.0,0,4.46
2010-09-04 20:00:00.0,0,4.32
2010-09-04 21:00:00.0,0,4.31
2010-09-04 22:00:00.0,0,27.52
2010-09-04 23:00:00.0,0,24.66
2010-09-05 00:00:00.0,0,4.24
2010-09-05 01:00:00.0,0,4.33
2010-09-05 02:00:00.0,0,4.26
2010-09-05 03:00:00.0,0,4.28
2010-09-05 04:00:00.0,0,4.26
2010-09-05 05:00:00.0,0,4.13
2010-09-05 06:00:00.0,0,4.31
2010-09-05 07:00:00.0,0,4.22
2010-09-05 08:00:00.0,17,5.09
2010-09-05 09:00:00.0,67,50.33
2010-09-05 10:00:00.0,39,47.6
2010-09-05 11:00:00.0,18,44.23
2010-09-05 12:00:00.0,15,40.62
2010-09-05 13:00:00.0,18,39.96
2010-09-05 14:00:00.0,14,38.96
2010-09-05 15:00:00.0,28,41.63
2010-09-05 16:00:00.0,50,44.19
2010-09-05 17:00:00.0,22,44.63
2010-09-05 18:00:00.0,0,23.96
2010-09-05 19:00:00.0,0,16.18
2010-09-05 20:00:00.0,0,16.02
2010-09-05 21:00:00.0,0,16.06
2010-09-05 22:00:00.0,0,29.55
2010-09-05 23:00:00.0,0,11.03
2010-09-06 00:00:00.0,0,11.41
2010-09-06 01:00:00.0,0,4.19
2010-09-06 02:00:00.0,0,4.15
2010-09-06 03:00:00.0,0,4.17
2010-09-06 04:00:00.0,0,4.08
2010-09-06 05:00:00.0,25,26.34
2010-09-06 06:00:00.0,35,47.38
2010-09-06 07:00:00.0,27,44.31
2010-09-06 08:00:00.0,34,44.34
2010-09-06 09:00:00.0,78,46.45
2010-09-06 10:00:00.0,48,48.53
2010-09-06 11:00:00.0,26,42.5
2010-09-06 12:00:00.0,32,41.74
2010-09-06 13:00:00.0,17,41.95
2010-09-06 14:00:00.0,32,41.75
2010-09-06 15:00:00.0,37,40.76
2010-09-06 16:00:00.0,60,42.58
2010-09-06 17:00:00.0,168,47.01
2010-09-06 18:00:00.0,113,51.02
2010-09-06 19:00:00.0,52,46.08
2010-09-06 20:00:00.0,20,40.67
2010-09-06 21:00:00.0,1,35.96
2010-09-06 22:00:00.0,0,32.38
2010-09-06 23:00:00.0,0,32.88
2010-09-07 00:00:00.0,0,25.95
2010-09-07 01:00:00.0,0,30.75
2010-09-07 02:00:00.0,0,12.82
2010-09-07 03:00:00.0,0,4.12
2010-09-07 04:00:00.0,0,4.08
2010-09-07 05:00:00.0,34,25.08
2010-09-07 06:00:00.0,38,48.21
2010-09-07 07:00:00.0,23,44.98
2010-09-07 08:00:00.0,39,37.51
2010-09-07 09:00:00.0,49,48.14
2010-09-07 10:00:00.0,51,45.87
2010-09-07 11:00:00.0,18,43.51
2010-09-07 12:00:00.0,24,42.47
2010-09-07 13:00:00.0,21,38.72
2010-09-07 14:00:00.0,17,38.42
2010-09-07 15:00:00.0,26,38.47
2010-09-07 16:00:00.0,44,39.02
2010-09-07 17:00:00.0,83,43.6
2010-09-07 18:00:00.0,108,50.04
2010-09-07 19:00:00.0,82,49.15
2010-09-07 20:00:00.0,19,42.66
2010-09-07 21:00:00.0,0,33.27
2010-09-07 22:00:00.0,0,30.62
2010-09-07 23:00:00.0,0,30.54
2010-09-08 00:00:00.0,0,4.25
2010-09-08 01:00:00.0,0,4.13
2010-09-08 02:00:00.0,0,4.07
2010-09-08 03:00:00.0,0,4.16
2010-09-08 04:00:00.0,0,3.94
2010-09-08 05:00:00.0,27,27.32
2010-09-08 06:00:00.0,53,45.89
2010-09-08 07:00:00.0,20,41.34
2010-09-08 08:00:00.0,44,39.74
2010-09-08 09:00:00.0,99,46.1
2010-09-08 10:00:00.0,40,44.3
2010-09-08 11:00:00.0,17,41.73
2010-09-08 12:00:00.0,23,39.1
2010-09-08 13:00:00.0,28,38.79
2010-09-08 14:00:00.0,26,43.22
2010-09-08 15:00:00.0,20,38.68
2010-09-08 16:00:00.0,31,40.11
2010-09-08 17:00:00.0,105,46.78
2010-09-08 18:00:00.0,102,46.37
2010-09-08 19:00:00.0,52,45.2
2010-09-08 20:00:00.0,13,45.75
2010-09-08 21:00:00.0,0,37.26
2010-09-08 22:00:00.0,0,32.76
2010-09-08 23:00:00.0,0,32.03
2010-09-09 00:00:00.0,0,4.19
2010-09-09 01:00:00.0,0,4.17
2010-09-09 02:00:00.0,0,4.11
2010-09-09 03:00:00.0,0,4.22
2010-09-09 04:00:00.0,0,3.94
2010-09-09 05:00:00.0,29,29.02
2010-09-09 06:00:00.0,40,47.77
2010-09-09 07:00:00.0,20,42.08
2010-09-09 08:00:00.0,40,39.71
2010-09-09 09:00:00.0,53,42.22
2010-09-09 10:00:00.0,27,40.01
2010-09-09 11:00:00.0,22,41.68
2010-09-09 12:00:00.0,32,41.36
2010-09-09 13:00:00.0,26,42.7
2010-09-09 14:00:00.0,29,45.54
2010-09-09 15:00:00.0,40,41.99
2010-09-09 16:00:00.0,41,44.16
2010-09-09 17:00:00.0,95,47.35
2010-09-09 18:00:00.0,62,48.59
2010-09-09 19:00:00.0,28,42.82
2010-09-09 20:00:00.0,1,34.8
2010-09-09 21:00:00.0,0,31.26
2010-09-09 22:00:00.0,0,33.1
2010-09-09 23:00:00.0,0,11.01
2010-09-10 00:00:00.0,0,4.14
2010-09-10 01:00:00.0,0,4.31
2010-09-10 02:00:00.0,0,4.08
2010-09-10 03:00:00.0,0,4.22
2010-09-10 04:00:00.0,0,3.98
2010-09-10 05:00:00.0,16,22.52
2010-09-10 06:00:00.0,32,46.1
2010-09-10 07:00:00.0,19,42.29
2010-09-10 08:00:00.0,26,40.81
2010-09-10 09:00:00.0,60,42.94
2010-09-10 10:00:00.0,40,46.59
2010-09-10 11:00:00.0,20,39.87
2010-09-10 12:00:00.0,18,39.1
2010-09-10 13:00:00.0,15,39.7
2010-09-10 14:00:00.0,30,38.99
2010-09-10 15:00:00.0,38,39.02
2010-09-10 16:00:00.0,55,43.68
2010-09-10 17:00:00.0,63,40.51
2010-09-10 18:00:00.0,38,44.42
2010-09-10 19:00:00.0,10,41.07
2010-09-10 20:00:00.0,0,28.0
2010-09-10 21:00:00.0,0,25.26
